economieattention,1,Économie de l'attention,"Système économique qui repose sur une forme spécifique de rareté : *l'attention*.
La capacité d'attention des individus est limitée tandis que la quantité d'informations auxquelles ils sont exposés est toujours plus importante. Dans ce contexte, en particulier sur Internet, l'attention devient un objet de convoitise pour de nombreuses entreprises.",,,
edwardsnowden,1,Edward Snowden,Edward Joseph Snowden est un ancien consultant en renseignement informatique qui a divulgué des informations hautement classifiées de la National Security Agency (NSA) en 2013 alors qu'il était employé et sous-traitant de la Central Intelligence Agency (CIA).,Wikipédia,,
effetdereseau,1,Effets de réseau,"Phénomène par lequel l'utilité réelle d'une technique ou d'un produit dépend de la quantité de ses utilisateurs. Les réseaux sociaux, tout comme les plateformes d'échange entre internautes bénéficent des effets de réseaux.",,,
efficacite,1,Efficacité algorithmique,L'efficacité algorithmique est la mesure en temps ou en volume de données traitées de la performance d'un algorithme donné dans une situation donnée.,Wikipédia,,
emetteur1,1,Émetteur,L’émetteur d’un transistor est la “porte d’entrée” à partir de laquelle le courant électrique “arrive” dans le transistor.,,,
input,1,Entrées,Informations fournies à un algorithme ou un (sous-) programme.,,,
femtech,1,Femtech,"Contraction des mots female et technology, le terme femtech désigne un secteur industriel qui regroupe les produits et services numériques destinés spécifiquement à la santé et au bien-être des femmes. Ces technologies adressent des problématiques telles que la santé reproductive, la grossesse,  l’allaitement, la sexualité ou encore les menstruations. ",,,
fonction,1,Fonction,Sous-programme pouvant être appelé à l’intérieur d’un programme et pouvant avour des entrées et des sorties.,,,
fonctionrec,1,Fonction récursive,Fonction qui s’appelle elle-même.,,,
heuristique,1,Heuristique,"Se dit d'un algorithme qui permet de résoudre rapidement des problèmes complexes d'optimisation sans se fonder sur une modélisation formelle, ce n'est pas necessairement une solution optimale.",,,
implementation,1,Implémentation,L'implémentation [d'un algorithme] est son écriture dans l'un ou l'autre langage de programmation,,,
incrementation,1,Incrémentation,"Action d'augmenter une valeur (hebergée par une variable souvent) suivant un incrément donné. Si j'incrémente 3 fois ma variable initialement à 1 de la valeur 3, je vais obtenir (1)4, 7, 10",,,
informatique,1,Informatique,L'informatique est la science du traitement automatique de l'information.,,,
instruction,1,Instructions,Une instruction dicte au processeur l'action à effectuer avant de passer à l'instruction suivante.,,,
intelligencecollective,1,Intelligence collective,"L'intelligence collective (IC) est une intelligence partagée ou de groupe qui émerge de la collaboration, des efforts collectifs et de la compétition de nombreux individus et apparaît dans la prise de décision par consensus.",,,
iteration,1,Itération,Répétition d’opérations paramétrée par une condition à remplir pour sortir de la boucle.,,,
lan,1,Réseau local,"Réseau de machines interconnectées localement, par exemples dans une école, une entreprise ou un appartement.",,,
lanceurdalerte,1,Lanceur·euse d'alerte,"Un·e lanceur·euse d’alerte est «une personne qui, dans le contexte de sa relation de travail, révèle ou signale un état de fait mettant en lumière des comportements illicites ou dangereux qui constituent une menace pour l’homme, l’économie, la société, l’État ou l’environnement, c’est-à-dire pour le bien commun, l’intérêt général.",,,
langageinterprete,1,Langage interprété,"Un langage interprété est une suite d'instructions (code source) lues et analysées par un programme : l'interpréteur. L’interpréteur lit et analyse une instruction et, si elle est correcte, l'exécute et passe à l'instruction suivante."," un verrou est un circuit permettant de bloquer un bit de sortie, même quand le bit d'entrée est modifié. ",,
luminance,1,Luminance,La luminance est le quotient de l'intensité lumineuse d'une surface par l'aire apparente de cette surface.,,,
matrice,1,Matrice,"Une matrice est un tableau d'éléments (une donnée : nombres ou caractères) généralement à 2 dimensions. Une table de multiplication est une matrice, une image numérique aussi.",,,
memnonvolatile,1,Mémoire non volatile,La mémoire non volatile d’un ordinateur est une mémoire dont la durée de vie outrepasse la mise hors tension des circuits. , tenant compte des spécificités de ce langage.,,
memvolatile,1,Mémoire volatile,La mémoire volatile d’un ordinateur est une mémoire dont la durée de vie est limitée à la mise sous tension des circuits. ,,,
microtravail,1,Micro-travail,"Le micro-travail (ou microtravail), appelé aussi travail au clic ou microtasking (micro-tâche), désigne une pratique de travail à la tâche. Il est surtout caractérisé, selon certains chercheurs, par l'extreme parcellisation et standardisation du travail en micro-tâches numériques et par un intense détachement en termes physiques, administratifs et temporels du travail comme l'on l'entend dans le sens commun.",,,
multiplateforme,1,Multiplateforme,"Le terme de multiplateforme désigne plus particulièrement différentes plateformes informatiques vues sous l'angle de leurs systèmes d'exploitations spécifiques, communiquant entre-elles",,,
negation,1,Négation,"En logique, la négation est équivalente au “ne pas” dans le langage courant. Il “défend” à un élément d’être activé. ",,,
numerisation,1,Numérisation,La numérisation est le procédé selon lequel on transforme une quantité réelle en sa représentation par des bits. , textuelle,, etc.
ordinateur,1,Ordinateur,Machine capable de traiter automatiquement de l’information,,,
parametre,1,Paramètre,Variable par laquelle une entrée est fournie à un (sous-) programme.,,,
picto,1,Pictogrammes,"Un pictogramme, également appelé pictographe, est une représentation graphique schématique, un dessin figuratif stylisé ayant fonction de signe.",,,
pixel,1,Pixel,"Le pixel est le plus petit élément composant une image numérique définie par sa couleur et sa luminosité. Unité de surface, son nombre permet de définir la résolution d'un écran ou d'une image.",,,
plateformenumerique,1,Plateforme numérique,"Une plateforme numérique est une zone d’échange où les offres et les demandes se rencontrent sous une forme dématérialisée. Reposant sur un modèle ouvert, elle gère et développe un écosystème, exploite les effets de réseau et facilite les évolutions. Cet écosystème permet de fédérer les organisations (clients, partenaires, concurrents, communautés de toutes tailles) afin de créer de la valeur au-delà de l’entreprise. Plus il y a d’intervenants, plus l’écosystème est prospère.",,,
portelogique,1,Portes logiques,"Les portes logiques sont des unités microélectroniques, ou symboliques, permettant de reproduire la logique booléenne via des tensions électriques.",,,
processeur,1,Processeur,Un processeur est une unité microélectronique permettant de décoder et d’exécuter des instructions. ,,,
programmation,1,Programmation,Activité consistant à spécifier à un ordinateur ce qu’il doit faire à l’aide d’un langage précis (langage de programmation).,,,
programme,1,Programme,Séquence d’instructions (dans un langage de programmation) pouvant être exécutée par un ordinateur.,,,
proginfo,1,Programme informatique,Un programme informatique est la traduction d'un algorithme dans un langage de programmation afin de le faire exécuter par un ordinateur.,,,
programmeprism,1,Programme PRISM,"PRISM (également appelé US-984XN1), est un programme américain de surveillance électronique par la collecte de renseignements à partir d'Internet et d'autres fournisseurs de services électroniques.",,,
protocolecomm,1,Protocole de communication,"Dans le monde des réseaux, un protocole de communication est un ensemble de règles permettant de faire communiquer des machines entres elles. Le protocole d'Internet IP, utilise des adresses IP qui définissent des structures de branchements permettant de localiser dans le réseau une position unique. Le protocole TCP (transmission Control Protocol) permet de définir les règles pour échanger et transmettre des paquets d'information entre des adresses IP : TCP/IP.",,,
recursivite,1,Récursivité,La récursivité est le principe selon lequel un programme ou une partie de celui-ci peut se répéter un nombre théoriquement infini de fois en s'appelant lui-même.,,,
resistance,1,Résistance,Une résistance ou resistor est un composant électronique ou électrique dont la principale caractéristique est d'opposer une plus ou moins grande résistance (mesurée en ohms) à la circulation du courant électrique.,,,
resolution,1,Résolution,"La résolution d'une image est le nombre de pixels qu'elle contient. Si vous trouvez une mesure associée à ""PPP"" ou ""DPI"" (ex. 300dpi), c'est le nombre de pixels pour un pouce carré (un pouce valant 2.54cm), soit 90 000pixels pour une surface carrée de 2, 54 cm de coté.",,,
rgpd,1,RGPD,"Réglement Général sur la Protection des Données, mis en oeuvre dans l'Union Européenne en 2018.  Les principaux objectifs du RGPD sont d'accroître à la fois la protection des personnes concernées par un traitement de leurs données à caractère personnel et la responsabilisation des acteurs de ce traitement.",,,
routeur,1,Routeur,Machine dont le rôle est d’orienter les paquets de données transmises sur Internet afin qu’ils atteignent leur destinataire.,,,
output,1,Sorties,Informations fournies en résultat par un algorithme ou un (sous-) programme.,,,
stockage,1,Stockage,"En informatique, on entend par stockage un processus grâce auquel un certain nombre de bits d’information peuvent être conservés dans le temps. Il existe des stockages de courte et de longue durée, ainsi qu’une multiplicité de techniques permettant de stocker de l’information sous forme de bits. ",,,
surveillancedemasse,1,Surveillance de masse,"La surveillance de masse ou surveillance ""indiscriminée"" est une surveillance qui s'exerce de façon globale et non ciblée, sans indices concrets ou soupçon d'une activité illégale. Il peut s'agir par exemple, de la surveillance des communications à l'échelle d'un pays.",,,
synthadditive,1,Synthèse additive,La synthèse additive des couleurs est le procédé consistant à combiner les lumières de plusieurs sources colorées dans le but d'obtenir une lumière colorée quelconque.,,,
synthsoustractive,1,Synthèse soustractive,La synthèse soustractive des couleurs est le procédé consistant à combiner l'absorption d'au moins trois colorants pour obtenir les nuances d'une gamme.,,,
sysco,1,Système de communication,"Un système de communication est un ensemble d’outils, de protocoles, de conventions, permettant à deux ou plusieurs êtres humains ou machines de communiquer entre eux/elles. ",,,
syslogique,1,Système logique,Un système logique est une construction logique permettant de transformer certaines données d'entrées en certaines données de sortie de façon prédictive.,,,
tableverite,1,Table de vérité,"En logique, une table de vérité est une façon de représenter les “entrées” et les “sorties” d’un système logique de façon graphique. ",,,
telegraphe,1,Télégraphe,"Le télégraphe (du grec ancien τηλε têlé, loin et γραφειν graphein, écrire) est un système destiné à transmettre des messages, appelés télégrammes, d'un point à un autre sur de grandes distances, à l'aide d’un code pour une transmission rapide et fiable.",,,
tension,1,Tension,La tension électrique est la circulation du champ électrique le long d'un circuit électrique mesurée en volts par un voltmètre.,,,
tracenumerique,1,Trace numérique,"Information enregistrée par un dispositif numérique sur l'activité ou l'identité de ses utilisateurs. Cette trace peut être créée consciemment par l'utilisateur (dépôt d'une image sur un réseau social) ou être réalisée à son insu (enregistrement des heures de consultation dudit réseau). Regroupées, traitées et combinées dans d'importantes bases de données, ces traces peuvent révéler des informations significatives, stratégiques ou sensibles.",,,
traitement,1,Traitement,"Le traitement de l’information rassemble toutes les opérations que l’on peut faire subir à une information pour la stocker, transformer, compresser, dupliquer, et ainsi de suite. ",,,
transistor,1,Transistor,"Le transistor est un composant qui est utilisé dans la plupart des circuits électroniques (circuit logique, amplificateur, stabilisateur de tension, modulation de signal, etc.).",,,
transmission,1,Transmission,"En informatique, la transmission de l’information est l’opération par laquelle des bits sont envoyés d’un endroit à un autre sur terre, ou plus simplement d’un appareil à un autre, ou d’un programme à un autre. ",,,
typage,1,Typage,"Activité consistant à définir rigoureusement la qualité d'une variable dans un programme (entier, réel, caractère, etc).",,,
uberisation,1,Uberisation,"Remise en cause du modèle économique d’une entreprise ou d’un secteur d’activité par l’arrivée d’un nouvel acteur proposant les mêmes services à des prix moindres, effectués par des indépendants plutôt que des salariés, le plus souvent via des plateformes de réservation sur Internet.",,,
variable,1,Variable,Une variable est un objet stocké dans la mémoire par un programme. Certains langages nécessitent qu'on clarifie de quelle nature est cette variable,,,
verrou,1,Verrou,En termes de circuits logiques, Wikipédia, ,
wikipedia,1,Wikipédia,"Wikipédia est une encyclopédie en ligne gratuite, créée et éditée par des bénévoles du monde entier et hébergée par la Wikimedia Foundation.",,,
